Nome: VOLTA REDONDA
Codigo Estacao: 83111
Latitude: -22.52
Longitude: -44.1
Altitude: 375
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1991-05-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-12-23;11.2;
1990-12-24;7.6;
1990-12-25;3;
1990-12-26;6.4;
1990-12-27;6.9;
1990-12-28;11.5;
1990-12-29;9.1;
1990-12-30;9.1;
1990-12-31;6.7;
1991-01-01;7.9;
1991-01-02;8.6;
1991-01-03;6.3;
1991-01-04;0;
1991-01-05;.6;
1991-01-06;3.7;
1991-01-07;3.1;
1991-01-08;4.1;
1991-01-09;6.5;
1991-01-10;7.4;
1991-01-11;2.4;
1991-01-12;.2;
1991-01-13;0;
1991-01-14;.7;
1991-01-15;.8;
1991-01-16;0;
1991-01-17;2.5;
1991-01-18;0;
1991-01-19;0;
1991-01-20;4.4;
1991-01-21;8.7;
1991-01-22;7.2;
1991-01-23;4.9;
1991-01-24;2.9;
1991-01-25;2.7;
1991-01-26;2.3;
1991-01-27;0;
1991-01-28;3.2;
1991-01-29;7.4;
1991-01-30;7.2;
1991-01-31;2.7;
1991-02-01;null;
1991-02-02;null;
1991-02-03;null;
1991-02-04;null;
1991-02-05;null;
1991-02-06;null;
1991-02-07;null;
1991-02-08;null;
1991-02-09;null;
1991-02-10;null;
1991-02-11;null;
1991-02-12;null;
1991-02-13;null;
1991-02-14;null;
1991-02-15;null;
1991-02-16;null;
1991-02-17;null;
1991-02-18;null;
1991-02-19;null;
1991-02-20;null;
1991-02-21;null;
1991-02-22;null;
1991-02-23;null;
1991-02-24;null;
1991-02-25;null;
1991-02-26;null;
1991-02-27;null;
1991-02-28;null;
1991-03-01;0;
1991-03-02;null;
1991-03-03;null;
1991-03-04;null;
1991-03-05;null;
1991-03-06;null;
1991-03-07;null;
1991-03-08;null;
1991-03-09;null;
1991-03-10;null;
1991-03-11;null;
1991-03-12;null;
1991-03-13;null;
1991-03-14;null;
1991-03-15;null;
1991-03-16;null;
1991-03-17;null;
1991-03-18;null;
1991-03-19;null;
1991-03-20;null;
1991-03-21;null;
1991-03-22;null;
1991-03-23;null;
1991-03-24;null;
1991-03-25;null;
1991-03-26;null;
1991-03-27;null;
1991-03-28;null;
1991-03-29;null;
1991-03-30;null;
1991-03-31;null;
1991-04-01;0;
1991-04-02;3.2;
1991-04-03;7.4;
1991-04-04;5.8;
1991-04-05;3.4;
1991-04-06;6.2;
1991-04-07;7.3;
1991-04-08;3.8;
1991-04-09;4.8;
1991-04-10;9;
1991-04-11;7.8;
1991-04-12;8.7;
1991-04-13;6.7;
1991-04-14;6.8;
1991-04-15;6.8;
1991-04-16;9.9;
1991-04-17;10;
1991-04-18;7.8;
1991-04-19;4.8;
1991-04-20;3;
1991-04-21;0;
1991-04-22;9.5;
1991-04-23;9.4;
1991-04-24;8.5;
1991-04-25;9.1;
1991-04-26;3.1;
1991-04-27;3.9;
1991-04-28;0;
1991-04-29;7.7;
1991-04-30;9.2;
1991-05-01;0;
1991-05-02;8.4;
1991-05-03;8.8;
1991-05-04;9.6;
1991-05-05;0;
1991-05-06;1;
1991-05-07;0;
1991-05-08;1.2;
1991-05-09;3.4;
1991-05-10;6.6;
1991-05-11;5.4;
1991-05-12;4.9;
1991-05-13;6.1;
1991-05-14;5.3;
1991-05-15;1.1;
1991-05-16;4.3;
1991-05-17;5.7;
1991-05-18;7.7;
1991-05-19;0;
1991-05-20;1.9;
1991-05-21;8;
1991-05-22;9.5;
1991-05-23;7.6;
1991-05-24;5.2;
1991-05-25;8;
1991-05-26;8.2;
1991-05-27;9.3;
1991-05-28;8.9;
1991-05-29;8.7;
1991-05-30;8.1;
1991-05-31;8.5;

