Nome: ITABIRA
Codigo Estacao: 83590
Latitude: -19.62
Longitude: -43.22
Altitude: 845
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1992-11-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-12-13;5.7;
1990-12-14;5.1;
1990-12-15;1.7;
1990-12-16;3.2;
1990-12-17;5.4;
1990-12-18;9.1;
1990-12-19;7.1;
1990-12-20;.8;
1990-12-21;2.1;
1990-12-22;6.5;
1990-12-23;5.4;
1990-12-24;8.1;
1990-12-25;8.4;
1990-12-26;3.9;
1990-12-27;2.1;
1990-12-28;3.8;
1990-12-29;3.8;
1990-12-30;4;
1990-12-31;5.2;
1991-01-01;9.6;
1991-01-02;7.8;
1991-01-03;5.7;
1991-01-04;.5;
1991-01-05;.6;
1991-01-06;2;
1991-01-07;2.7;
1991-01-08;3.8;
1991-01-09;7.1;
1991-01-10;8;
1991-01-11;0;
1991-01-12;0;
1991-01-13;.2;
1991-01-14;.3;
1991-01-15;0;
1991-01-16;2.3;
1991-01-17;0;
1991-01-18;0;
1991-01-19;1.9;
1991-01-20;2.8;
1991-01-21;.7;
1991-01-22;8.1;
1991-01-23;2.9;
1991-01-24;1.7;
1991-01-25;.9;
1991-01-26;3.9;
1991-01-27;2.7;
1991-01-28;.9;
1991-01-29;.2;
1991-01-30;4.9;
1991-01-31;2.2;
1991-02-01;7.6;
1991-02-02;9.7;
1991-02-03;7.7;
1991-02-04;4.7;
1991-02-05;10.4;
1991-02-06;6.6;
1991-02-07;10;
1991-02-08;7.9;
1991-02-09;3.9;
1991-02-10;3;
1991-02-11;5.7;
1991-02-12;4.8;
1991-02-13;9.4;
1991-02-14;1;
1991-02-15;.6;
1991-02-16;.2;
1991-02-17;2.5;
1991-02-18;7.5;
1991-02-19;6.9;
1991-02-20;1.8;
1991-02-21;3.9;
1991-02-22;6.1;
1991-02-23;4.6;
1991-02-24;.2;
1991-02-25;1;
1991-02-26;2.2;
1991-02-27;2.8;
1991-02-28;.7;
1991-03-01;5.3;
1991-03-02;5.3;
1991-03-03;9.2;
1991-03-04;5.5;
1991-03-05;6.8;
1991-03-06;9.5;
1991-03-07;7.5;
1991-03-08;5.6;
1991-03-09;6.2;
1991-03-10;5.6;
1991-03-11;9.9;
1991-03-12;5.6;
1991-03-13;8.8;
1991-03-14;6.3;
1991-03-15;9.5;
1991-03-16;2.9;
1991-03-17;5.2;
1991-03-18;5.2;
1991-03-19;2.1;
1991-03-20;6.6;
1991-03-21;7.2;
1991-03-22;.1;
1991-03-23;0;
1991-03-24;0;
1991-03-25;4.5;
1991-03-26;5.1;
1991-03-27;0;
1991-03-28;0;
1991-03-29;0;
1991-03-30;.3;
1991-03-31;.2;
1991-04-01;1.3;
1991-04-02;1.2;
1991-04-03;0;
1991-04-04;3.7;
1991-04-05;.5;
1991-04-06;3.4;
1991-04-07;7.5;
1991-04-08;7.1;
1991-04-09;9.6;
1991-04-10;6.9;
1991-04-11;8.3;
1991-04-12;6.4;
1991-04-13;9.3;
1991-04-14;7.8;
1991-04-15;6;
1991-04-16;7.2;
1991-04-17;7.5;
1991-04-18;6.4;
1991-04-19;10.4;
1991-04-20;0;
1991-04-21;3.5;
1991-04-22;8.6;
1991-04-23;1.1;
1991-04-24;3.1;
1991-04-25;6.8;
1991-04-26;7.2;
1991-04-27;4.8;
1991-04-28;6.6;
1991-04-29;6.9;
1991-04-30;9.7;
1991-05-01;9.9;
1991-05-02;5.6;
1991-05-03;7.2;
1991-05-04;9.6;
1991-05-05;7.9;
1991-05-06;9.4;
1991-05-07;6.1;
1991-05-08;7.4;
1991-05-09;3.6;
1991-05-10;4.3;
1991-05-11;5.2;
1991-05-12;.2;
1991-05-13;8;
1991-05-14;4.2;
1991-05-15;7.4;
1991-05-16;0;
1991-05-17;4;
1991-05-18;1.7;
1991-05-19;1.5;
1991-05-20;0;
1991-05-21;5.3;
1991-05-22;4.4;
1991-05-23;8.3;
1991-05-24;6.2;
1991-05-25;6.7;
1991-05-26;5.1;
1991-05-27;3.5;
1991-05-28;4.7;
1991-05-29;6.4;
1991-05-30;7.5;
1991-05-31;1.4;
1991-06-01;8.5;
1991-06-02;2.6;
1991-06-03;.8;
1991-06-04;5.7;
1991-06-05;3.2;
1991-06-06;3.8;
1991-06-07;9.8;
1991-06-08;7.1;
1991-06-09;6.8;
1991-06-10;1;
1991-06-11;1.7;
1991-06-12;2.4;
1991-06-13;7.6;
1991-06-14;0;
1991-06-15;.8;
1991-06-16;7.4;
1991-06-17;3.3;
1991-06-18;8.3;
1991-06-19;9.6;
1991-06-20;9.3;
1991-06-21;7.6;
1991-06-22;8.3;
1991-06-23;8;
1991-06-24;5;
1991-06-25;6.9;
1991-06-26;5.5;
1991-06-27;5.4;
1991-06-28;3.3;
1991-06-29;7.6;
1991-06-30;9;
1991-07-01;3.8;
1991-07-02;7.2;
1991-07-03;7.9;
1991-07-04;8.4;
1991-07-05;8.6;
1991-07-06;3.5;
1991-07-07;8.5;
1991-07-08;7.5;
1991-07-09;8.1;
1991-07-10;7.5;
1991-07-11;9.5;
1991-07-12;8.9;
1991-07-13;7.9;
1991-07-14;1.7;
1991-07-15;1.5;
1991-07-16;.2;
1991-07-17;2.9;
1991-07-18;.7;
1991-07-19;2.4;
1991-07-20;.7;
1991-07-21;6.3;
1991-07-22;4.4;
1991-07-23;5.9;
1991-07-24;6.5;
1991-07-25;5.9;
1991-07-26;.5;
1991-07-27;2.3;
1991-07-28;3.5;
1991-07-29;0;
1991-07-30;0;
1991-07-31;6.9;
1991-08-01;5.8;
1991-08-02;6.6;
1991-08-03;0;
1991-08-04;0;
1991-08-05;8;
1991-08-06;8.8;
1991-08-07;9;
