83632;-20.01;-44.05;IBIRITE;MG
82686;-6.36;-39.29;IGUATU;CE
82564;-5.53;-47.48;IMPERATRIZ;MA
83872;-26.9;-49.21;INDAIAL;SC
83522;-17.71;-48.16;IPAMERI;GO
83881;-27.18;-53.23;IRAI;RS
83836;-25.46;-50.63;IRATI;PR
83182;-11.3;-41.86;IRECE;BA
83195;-11.11;-37.81;ITABAIANINHA;SE
83244;-12.51;-40.28;ITABERABA;BA
82336;-3.13;-58.43;ITACOATIARA;AM
82445;-4.28;-56;ITAITUBA;PA
83488;-17.85;-42.85;ITAMARANDIBA;MG
83695;-21.2;-41.9;ITAPERUNA;RJ
83295;-13.35;-40.11;ITIRUCU (JAGUAQUARA);BA
83292;-13.81;-41.3;ITUACU;BA
83521;-18.96;-49.51;ITUIUTABA;MG
83523;-18.41;-49.21;ITUMBIARA;GO
83811;-25;-50.85;IVAI;PR
83704;-22.3;-53.81;IVINHEMA;MS
83186;-11.18;-40.46;JACOBINA;BA
82493;-4.78;-37.76;JAGUARUANA;CE
83395;-15.78;-43.3;JANAUBA;MG
83386;-15.45;-44.36;JANUARIA;MG
83464;-17.88;-51.71;JATAI;GO
82798;-7.1;-34.86;JOAO PESSOA;PB
83481;-17.7;-46.16;JOAO PINHEIRO;MG
83692;-21.76;-43.35;JUIZ DE FORA;MG
83452;-16.78;-43.71;JURAMENTO;MG
82723;-7.25;-64.83;LABREA;AM
83891;-27.81;-50.33;LAGES;SC
83916;-28.21;-51.5;LAGOA VERMELHA;RS
83032;-21.95;-45.31;LAMBARI;MG
83687;-21.75;-45;LAVRAS;MG
83242;-12.56;-41.38;LENCOIS;BA
83766;-23.31;-51.13;LONDRINA;PR
82296;-3.41;-42.28;LUZILANDIA(LAG.DO PIAUI);PI
82098;-0.05;-51.11;MACAPA;AP
82594;-5.11;-36.76;MACAU;RN
82994;-9.66;-35.7;MACEIO;AL
83683;-21.66;-45.91;MACHADO;MG
82331;-3.11;-59.95;MANAUS;AM
82533;-5.81;-61.3;MANICORE;AM
82562;-5.36;-49.13;MARABA;PA
83767;-23.4;-51.91;MARINGA;PR
83214;-10.25;-54.91;MATUPA;MT
83389;-15.08;-44.01;MOCAMBINHO;MG
82181;-2;-54.08;MONTE ALEGRE;PA
83388;-15.08;-42.75;MONTE AZUL;MG
83090;-10.43;-39.29;MONTE SANTO;BA
82792;-7.88;-37.06;MONTEIRO;PB
83437;-16.68;-43.83;MONTES CLAROS;MG
82588;-5.11;-38.36;MORADA NOVA;CE
83184;-11.21;-41.21;MORRO DO CHAPEU;BA
82598;-5.91;-35.2;NATAL;RN
83513;-18.98;-56.65;NHUMIRIM (NHECOLANDIA);MS
83319;-14.7;-52.35;NOVA XAV.(XAVANTINA);MT
82178;-1.91;-55.51;OBIDOS;PA
82753;-7.9;-40.04;OURICURI;PE
83364;-15.78;-56.06;PADRE RICARDO REMETTER;MT
83033;-10.19;-48.3;PALMAS;TO
82992;-9.44;-36.7;PALMEIRA DOS INDIOS;AL
82990;-9.75;-37.43;PAO DE ACUCAR;AL
83479;-17.23;-46.88;PARACATU;MG
83844;-25.53;-48.51;PARANAGUA;PR
83565;-19.75;-51.18;PARANAIBA;MS
82240;-2.63;-56.73;PARINTINS;AM
82287;-3.08;-41.76;PARNAIBA;PI
83914;-28.21;-52.4;PASSO FUNDO;RS
82791;-7.01;-37.26;PATOS;PB
83531;-18.51;-46.43;PATOS DE MINAS;MG
82882;-8.13;-41.13;PAULISTANA;PI
82986;-9.36;-38.21;PAULO AFONSO;BA
83393;-16;-41.28;PEDRA AZUL;MG
82863;-8.96;-48.18;PEDRO AFONSO;TO
83228;-12.01;-48.35;PEIXE;TO
83985;-31.78;-52.41;PELOTAS;RS
82983;-9.36;-40.46;PETROLINA;PE
82780;-7.03;-41.48;PICOS;PI
83483;-17.35;-44.91;PIRAPORA;MG
83376;-15.85;-48.96;PIRENOPOLIS;GO
82480;-4.26;-41.78;PIRIPIRI;PI
83570;-19.21;-45;POMPEU;MG
83702;-22.53;-55.53;PONTA PORA;MS
83967;-30.05;-51.16;PORTO ALEGRE;RS
